V_Word,about,above,af,after,again,against,all,almost,along,also,although,always,american,among,an,another,any,are,area,around,as,asked,at,away,back,be,because,become,been,before,began,being,best,better,between,big,both,business,but,by,called,came,can,case,certain,children,church,city,come,could,country,course,day,days,development,did,different,do,does,done,door,down,during,each,early,end,enough,even,ever,every,example,eyes,face,fact,family,far,felt,few,find,first,for,form,found,four,from,general,get,give,given,go,god,going,good,got,government,great,group,had,hand,has,have,he,head,help,her,here,high,him,himself,his,home,house,how,however,human,if,important,interest,into,is,it,its,itself,john,just,kind,knew,know,large,last,later,law,least,left,less,let,life,light,like,line,little,long,look,looked,made,make,man,many,matter,may,me,means,members,men,might,mind,more,most,much,must,my,name,national,need,never,new,next,night,no,not,nothing,now,number,off,often,old,on,once,one,only,open,or,order,other,others,our,out,over,own,part,people,per,perhaps,place,point,possible,power,present,president,problem,program,public,put,rather,right,room,said,same,saw,say,school,second,see,seemed,sense,service,set,several,she,should,side,since,small,so,social,some,something,state,states,still,such,system,take,than,that,their,them,then,there,these,they,thing,things,think,this,those,though,thought,three,through,thus,time,times,told,too,took,toward,turned,two,under,united,until,up,upon,us,use,used,very,want,war,was,water,way,we,well,went,were,what,when,where,which,while,white,who,whole,why,will,with,within,without,work,world,would,year,years,yet,york,you,young,your,about,above,af,after,again,against,all,almost,along,also,although,always,american,among,an,another,any,are,area,around,as,asked,at,away,back,be,because,become,been,before,began,being,best,better,between,big,both,business,but,by,called,came,can,case,certain,children,church,city,come,could,country,course,day,days,development,did,different,do,does,done,door,down,during,each,early,end,enough,even,ever,every,example,eyes,face,fact,family,far,felt,few,find,first,for,form,found,four,from,general,get,give,given,go,god,going,good,got,government,great,group,had,hand,has,have,he,head,help,her,here,high,him,himself,his,home,house,how,however,human,if,important,interest,into,is,it,its,itself,john,just,kind,knew,know,large,last,later,law,least,left,less,let,life,light,like,line,little,long,look,looked,made,make,man,many,matter,may,me,means,members,men,might,mind,more,most,much,must,my,name,national,need,never,new,next,night,no,not,nothing,now,number,off,often,old,on,once,one,only,open,or,order,other,others,our,out,over,own,part,people,per,perhaps,place,point,possible,power,present,president,problem,program,public,put,rather,right,room,said,same,saw,say,school,second,see,seemed,sense,service,set,several,she,should,side,since,small,so,social,some,something,state,states,still,such,system,take,than,that,their,them,then,there,these,they,thing,things,think,this,those,though,thought,three,through,thus,time,times,told,too,took,toward,turned,two,under,united,until,up,upon,us,use,used,very,want,war,was,water,way,we,well,went,were,what,when,where,which,while,white,who,whole,why,will,with,within,without,work,world,would,year,years,yet,york,you,young,your
about,3,0,1,6,3,0,33,2,2,6,0,2,2,0,10,2,7,32,1,3,9,8,25,1,1,33,1,0,14,0,5,8,1,2,0,2,1,1,10,9,0,4,8,0,4,1,0,2,2,4,2,0,4,2,0,4,5,22,1,6,1,0,2,1,0,1,7,4,3,2,0,1,0,2,1,1,12,5,5,1,24,0,1,0,11,1,1,1,2,3,0,3,3,2,1,2,0,18,0,7,13,46,1,1,15,7,0,24,2,12,4,4,14,2,0,4,1,1,2,62,13,1,0,1,15,2,20,39,0,1,0,1,0,2,3,0,1,1,3,2,10,3,4,3,4,1,5,4,0,1,18,2,0,3,1,1,18,0,25,2,1,0,0,2,3,8,2,3,12,19,21,8,2,1,0,3,4,3,7,19,1,11,0,4,1,4,16,1,1,1,11,0,1,0,4,0,1,0,3,1,0,3,0,1,5,0,17,6,0,14,1,0,5,4,0,2,6,0,11,3,1,0,1,9,0,8,36,0,0,7,2,2,1,4,16,6,14,5,10,5,15,14,8,29,17,0,0,16,0,1,1,8,1,13,8,2,0,1,3,1,0,4,9,0,3,2,0,6,3,3,86,1,6,6,8,3,23,32,2,0,8,0,1,9,1,2,3,22,3,1,2,3,12,3,2,2,0,28,0,0,3,2,14,5,2,0,19,2,0,2,2,0,5,0,26,1,9,3,1,2,27,2,12,2,3,8,1,1,4,7,0,7,3,1,3,1,3,2,30,11,0,2,1,3,4,5,3,1,2,0,3,4,3,4,1,5,1,3,2,1,0,2,0,5,2,0,1,7,0,5,0,1,3,1,2,1,1,1,0,5,36,2,2,4,10,1,6,0,1,1,2,9,3,1,2,2,2,11,0,2,4,49,2,0,41,1,1,32,7,53,3,4,24,3,1,8,2,1,0,12,116,11,3,1,2,1,1,0,1,4,1,3,0,0,3,0,3,0,5,0,2,6,1,0,1,3,6,3,1,2,18,0,1,5,1,1,6,4,5,2,16,0,3,0,3,12,0,4,4,7,4,6,0,3,1,9,7,2,19,7,0,27,2,8,2,6,3,1,4,1,13,18,1,2,1,3,2,2,1,4,0,2,0,0,1,3,3,18,0,1,1,2,0,0,0,1,1,3,17,1,0,2,3,6,1,3,7,1,2,1,4,2,2,5,65,21,29,6,9,14,13,6,12,3,51,9,5,1,9,5,0,19,7,0,4,0,2,0,16,1,1,5,5,1,9,2,0,3,0,3,18,1,8,8,3,0,5,34,12,2,26,1,0,11,2,5,2,13,0,2,5,7,10,6,14,2,0,21,3,7
above,2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,10,0,2,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,3,0,0,0,1,2,0,0,3,13,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,5,1,0,0,0,5,3,0,3,1,1,0,0,0,1,0,0,1,5,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,6,0,4,0,0,0,1,0,1,0,2,7,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,1,2,0,1,0,3,1,0,7,2,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,8,0,2,1,2,0,3,1,0,0,2,0,1,1,0,0,1,3,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2,1,1,1,0,2,6,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,9,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,6,6,0,3,0,2,9,0,5,0,1,1,3,2,1,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,2,2,0,0,0,1,1,0,0,0,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,0,3,0,1,0,0,6,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,10,4,5,2,2,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,2,1,3,1,3,0,1,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0
af,14,0,164,3,0,1,4,0,0,2,1,0,0,0,7,3,3,8,2,0,12,0,28,0,0,8,4,0,1,1,0,2,1,2,12,0,6,0,3,40,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,1,0,5,5,0,0,1,1,0,0,2,2,3,37,10,3,0,25,1,1,2,8,0,0,2,0,0,0,0,3,0,0,4,6,0,1,0,0,1,0,0,0,1,0,0,0,1,0,23,0,0,0,62,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,8,0,1,4,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,8,2,1,0,0,19,0,3,6,0,14,14,4,0,0,0,1,0,0,0,1,0,2,10,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,4,2,0,0,0,4,0,0,0,2,7,1,6,0,2,0,9,2,1,9,2,1,7,52,0,0,13,3,5,0,0,0,0,13,0,1,0,2,5,10,2,0,0,0,0,0,0,7,2,0,0,2,0,1,0,1,0,0,0,11,1,0,5,1,0,2,0,10,13,11,0,0,0,0,0,3,49,1,0,1,0,1,0,0,0,0,0,0,0,1,3,164,3,1,4,7,0,0,7,2,1,0,0,13,0,2,39,1,0,21,0,17,1,0,20,3,0,3,0,0,2,2,0,1,0,3,0,12,14,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,2,0,0,0,1,11,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,8,36,5,2,1,5,1,0,2,2,0,0,1,2,0,0,0,3,3,0,5,4,0,0,0,0,3,1,0,0,1,0,0,0,4,1,19,0,0,1,129,11,2,1,1,1,0,0,1,1,1,0,0,0,0,2,11,0,0,0,1,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,1,12,0,0,0,0,0,0,2,0,3,8,0,4,2,1,0,0,17,0,3,5,0,22,2,2,0,0,0,1,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,3,1,0,0,0,4,0,0,1,0,12,1,6,0,3,0,4,0,0,8,1,0,1,18,1,0,23,9,7,0,0,0,0,27,2,1,0,0,5,10,0,2,0,0,0,0,0,5,3,0,0,0,0,2,0,2,0,1,0,18,1,1,28,0,0,6,1,11,28,21,1,1,0,1,0,17,26,0,2,3,0,8,0,0,0,0,0,0,0
after,5,0,3,0,1,0,1,1,1,0,1,2,1,0,4,0,2,6,1,0,2,2,14,1,2,10,1,0,4,15,0,0,1,2,1,1,4,1,23,5,2,6,1,0,0,1,0,3,4,1,0,0,20,19,0,3,0,3,0,2,0,5,3,1,1,2,0,16,0,0,1,1,1,0,1,1,0,6,0,3,13,0,3,3,4,2,2,0,0,3,1,5,3,0,1,2,1,6,2,2,4,14,2,0,5,4,0,9,1,11,3,6,0,2,1,1,1,2,4,15,18,3,1,1,3,0,1,1,0,4,3,1,0,4,0,0,7,1,4,0,4,14,6,2,8,0,2,2,1,1,4,0,1,1,2,1,5,1,2,0,1,1,0,0,1,3,5,8,0,12,0,2,0,2,0,1,17,1,11,8,3,11,1,5,2,3,9,4,2,1,0,1,1,5,1,1,2,0,0,0,0,1,1,1,8,1,7,2,0,1,0,1,1,0,2,1,1,2,2,0,2,1,0,12,0,2,0,0,1,1,1,1,1,5,25,8,4,12,2,1,4,1,2,0,10,0,1,0,3,2,0,11,0,0,5,2,0,1,8,1,0,12,9,1,4,1,2,3,0,3,34,0,3,3,3,3,7,4,5,3,5,2,1,5,0,1,0,4,6,1,3,1,3,9,15,4,1,3,1,0,6,0,2,0,1,0,78,5,0,0,2,0,0,0,13,13,0,5,0,2,6,0,11,1,2,1,1,0,2,1,2,8,0,0,1,0,1,2,7,6,0,4,2,0,0,0,0,0,1,0,0,1,7,3,0,0,0,1,0,0,1,0,2,4,0,1,0,2,0,3,0,0,0,2,1,0,0,11,0,20,8,1,0,1,6,0,0,0,0,1,1,0,2,3,2,5,0,57,0,17,7,60,1,0,19,0,1,9,2,31,0,2,2,3,0,2,0,0,2,11,24,6,0,0,4,0,1,2,2,1,0,0,0,2,0,0,1,0,2,0,4,8,1,1,2,1,3,4,0,0,1,0,0,2,0,0,5,1,1,0,6,1,0,0,0,3,0,3,3,0,0,2,1,2,0,2,6,0,3,3,1,5,2,2,2,3,6,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,5,3,0,1,0,3,1,2,17,0,0,1,0,3,2,6,0,2,0,0,3,0,1,2,37,11,9,0,8,5,30,0,0,0,22,1,0,2,6,1,0,17,0,2,1,1,0,0,14,0,1,1,0,0,1,0,0,1,0,21,26,0,0,10,1,3,10,1,4,2,8,13,2,0,0,4,2,9,0,0,5,4,1,6,16,0,0,9,0,3
again,2,0,1,1,15,1,7,0,0,0,0,0,1,1,0,1,1,6,0,4,0,2,1,2,8,16,0,0,1,0,2,1,0,0,0,0,0,0,10,3,1,6,2,0,0,0,0,0,4,0,0,0,1,0,1,0,0,2,0,0,1,11,1,1,0,0,0,0,0,1,0,1,2,0,2,0,2,0,0,0,7,0,2,0,2,0,2,0,0,3,1,2,0,1,0,0,1,7,1,0,2,15,0,0,10,12,0,25,3,11,1,0,0,0,1,1,0,1,5,7,30,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,2,0,1,3,0,0,0,3,0,0,1,0,2,0,0,0,1,1,0,0,0,14,0,0,0,1,4,1,4,0,6,0,2,11,36,2,0,0,2,1,2,0,2,12,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,2,0,1,10,0,0,2,1,0,5,1,1,0,0,1,1,0,3,0,0,1,1,1,2,0,7,2,6,9,4,0,0,3,0,1,2,1,1,3,0,0,0,13,0,2,0,0,1,3,2,1,0,0,17,1,2,0,0,0,0,0,25,1,2,2,3,0,3,0,1,0,2,0,0,0,0,0,4,7,0,0,0,1,2,0,0,1,0,7,0,0,3,0,0,1,15,0,4,0,1,0,0,2,0,3,5,1,0,4,0,0,12,1,8,0,2,3,3,0,0,3,1,1,0,0,1,1,2,1,9,5,0,1,3,0,0,1,0,0,0,3,0,0,2,2,0,3,0,0,0,1,0,1,2,3,2,1,1,5,0,1,0,1,0,0,0,0,4,2,0,3,16,0,1,0,5,0,2,1,0,0,3,0,1,0,0,3,1,5,0,3,5,41,0,0,7,0,0,0,0,18,0,1,2,1,0,5,0,1,4,6,17,1,0,3,0,0,0,1,0,2,0,0,0,0,0,1,1,0,1,0,2,2,1,0,6,1,2,0,0,4,2,0,1,0,2,1,3,0,2,1,5,1,0,0,0,1,2,1,3,7,1,7,0,2,0,4,10,1,13,2,1,1,0,1,0,1,3,2,1,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,7,4,2,0,0,0,4,1,0,0,0,0,12,0,0,2,0,4,0,3,0,0,2,3,0,0,0,0,17,0,2,8,13,1,6,0,0,0,12,3,1,1,0,0,0,11,0,1,3,1,2,0,1,1,3,2,1,3,0,0,0,1,0,0,27,2,2,6,1,2,2,7,4,0,2,0,0,1,0,1,4,12,0,0,1,0,4,0,0,1,0,8,0,0
against,0,0,4,0,0,0,2,2,0,1,0,1,1,0,2,1,5,4,0,1,14,0,3,0,3,14,0,0,5,0,0,2,2,0,3,0,0,0,5,6,0,4,3,2,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,1,0,0,2,2,0,0,0,0,1,0,0,1,1,1,0,3,2,2,3,7,4,0,3,0,0,5,5,21,0,1,1,0,0,1,0,1,1,16,10,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,5,1,0,2,1,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,1,7,1,0,1,0,0,0,3,0,1,3,0,8,0,1,0,3,4,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1,1,0,1,0,0,0,0,2,0,0,0,0,4,0,2,2,0,0,1,1,0,0,0,3,2,0,0,0,5,0,3,6,5,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,3,0,1,0,19,1,0,3,1,2,1,13,17,2,1,1,0,1,7,0,0,1,3,0,2,4,0,0,4,6,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,7,1,0,1,0,0,0,1,7,0,5,1,0,0,4,0,2,0,3,0,3,0,0,0,0,1,0,1,2,0,1,1,10,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,1,1,2,0,0,0,7,0,0,2,0,1,1,12,2,0,11,1,0,12,0,31,1,1,0,1,1,3,0,0,0,1,18,1,2,1,1,2,0,0,0,2,0,1,1,3,0,0,0,1,2,0,1,0,1,0,0,0,3,2,1,0,8,0,2,3,0,0,2,1,0,0,3,0,0,0,0,4,0,1,2,2,0,1,4,0,0,0,4,2,4,1,1,6,1,10,0,2,0,1,1,0,1,1,1,0,0,0,2,0,0,0,2,1,0,0,1,0,4,1,0,0,1,1,0,0,0,0,0,0,5,0,5,1,1,2,2,0,0,5,4,0,4,0,0,1,10,9,7,2,5,0,3,0,0,0,9,2,0,0,1,1,1,0,0,0,1,0,0,0,1,0,3,1,0,0,8,2,0,0,0,0,4,0,0,4,0,0,0,1,1,0,14,1,1,8,2,0,6,3,0,0,1,3,0,1,0,1,0,2,1,3
all,19,29,7,78,4,7,21,15,1,8,0,7,1,5,6,1,10,66,2,3,34,1,200,4,3,34,9,0,11,4,2,8,9,2,4,1,1,4,49,30,3,2,8,0,2,1,0,3,6,9,4,3,4,3,1,8,2,17,2,10,1,2,2,1,1,1,5,7,1,2,0,5,1,7,3,0,2,2,2,18,142,1,3,2,40,3,11,4,2,3,2,5,4,10,4,3,2,47,2,11,18,29,1,6,16,13,1,26,5,22,4,6,4,5,1,23,5,3,9,68,112,3,4,0,6,0,14,12,1,4,4,4,2,4,2,1,5,5,15,1,2,4,3,2,7,7,5,2,0,7,10,2,4,9,0,3,9,18,4,5,6,1,1,4,2,1,2,7,2,61,10,17,1,5,3,1,42,9,6,2,3,17,2,4,5,2,19,17,2,2,7,0,0,6,1,3,2,2,0,4,4,3,4,0,2,0,21,9,4,6,2,0,9,3,3,6,3,2,7,3,1,8,1,16,0,7,2,4,4,4,4,1,10,12,140,5,34,7,13,3,63,3,4,5,23,2,3,2,2,14,2,18,1,2,3,3,2,1,7,6,2,6,16,5,20,9,7,1,2,6,98,0,9,44,7,1,44,13,14,6,30,6,4,11,0,4,12,83,0,4,10,13,20,6,5,8,1,27,2,5,33,1,4,1,7,2,21,3,10,1,1,0,8,0,7,0,5,49,2,15,28,0,25,1,7,20,14,4,12,2,2,4,2,2,1,7,1,4,78,21,0,1,12,0,2,3,1,5,6,23,10,4,20,2,0,14,2,8,3,1,0,4,3,2,0,1,1,4,3,4,0,3,0,1,2,0,2,4,0,4,44,0,1,12,14,0,2,1,0,5,1,2,5,7,4,4,0,44,1,15,37,108,0,3,19,8,5,7,0,71,3,1,5,8,7,12,3,2,8,70,55,33,0,0,6,2,7,19,1,5,2,3,0,2,5,5,17,2,8,0,1,6,2,1,4,2,5,6,4,7,7,5,14,25,5,1,14,4,2,13,13,1,3,2,2,12,2,11,13,11,2,13,0,3,4,7,24,11,10,4,0,16,2,54,11,23,13,60,3,2,14,0,2,5,2,8,1,3,0,0,0,5,5,1,91,0,15,13,1,1,2,1,3,7,3,0,9,0,26,9,0,3,6,8,4,8,2,9,12,4,9,1,3,3,98,28,29,11,26,60,31,0,26,5,113,24,4,2,17,13,1,34,16,3,21,2,0,3,2,4,5,2,16,1,19,0,3,6,8,0,44,3,37,32,10,8,44,9,12,3,19,6,0,31,0,3,15,35,4,2,5,14,19,8,12,2,2,28,7,10
almost,2,0,0,5,0,1,3,1,0,2,2,0,1,0,19,1,0,12,2,1,5,1,5,0,0,9,0,5,7,0,2,1,0,0,0,2,0,0,8,6,0,0,3,0,0,1,1,0,1,2,2,0,3,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,2,0,0,0,2,0,0,0,2,0,0,1,22,0,0,0,6,0,0,0,0,0,1,0,0,0,0,3,0,11,0,7,5,10,0,0,2,1,0,4,2,7,0,2,0,0,1,0,1,0,3,29,20,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,1,1,0,2,0,0,0,1,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,0,4,0,0,4,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,1,0,1,6,1,0,1,0,2,0,0,1,0,1,1,0,2,0,1,0,1,0,0,0,18,1,4,0,6,2,5,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,35,0,2,1,1,0,10,0,1,2,5,0,0,1,0,0,2,5,0,0,1,1,7,0,1,1,0,1,0,0,2,0,0,1,0,2,15,1,1,0,1,13,1,1,4,1,13,0,0,0,21,0,5,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,1,6,0,0,1,0,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,18,1,0,2,0,0,0,0,0,1,2,7,0,0,0,6,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,1,7,0,0,6,2,2,1,1,7,0,1,1,0,0,4,1,0,4,1,4,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,0,1,0,1,0,4,2,0,0,8,1,5,1,0,0,0,0,5,3,5,1,0,0,0,2,0,0,2,1,0,0,0,1,0,0,5,0,1,1,0,1,0,1,0,0,0,1,0,5,0,2,0,1,0,0,0,2,2,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,7,0,1,1,4,1,3,0,0,0,2,0,1,0,2,0,0,2,1,0,8,0,0,0,3,1,0,1,1,0,0,1,1,0,1,0,1,0,3,0,1,0,0,2,2,0,0,0,1,0,1,0,0,6,0,2,1,0,2,5,8,0,0,4,0,0
along,0,0,0,0,1,0,10,1,1,1,0,0,0,0,0,2,1,3,0,0,4,0,2,0,3,3,0,0,4,0,1,1,0,0,0,0,0,0,1,3,0,5,1,0,0,0,0,1,15,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,2,0,0,1,0,0,0,1,0,12,0,0,5,0,1,1,2,1,0,0,4,0,2,0,6,0,0,2,2,0,4,1,6,0,1,0,0,0,0,0,0,0,6,7,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,1,2,0,3,0,0,0,0,4,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,3,3,2,0,5,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,5,0,1,0,1,0,1,0,4,0,3,1,3,8,6,0,1,0,2,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,1,2,1,0,1,0,0,1,0,1,0,0,0,0,2,6,0,1,2,0,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,4,1,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,2,2,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,2,2,0,0,2,0,0,3,0,3,1,0,0,0,0,1,0,0,0,2,3,3,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,4,1,0,0,0,1,0,1,2,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,3,5,1,3,0,0,4,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,7,1,0,1,0,3,0,0,0,0,1,0,0,0,3,4,3,0,2,3,4,0,0,0,11,4,0,1,1,2,0,0,0,2,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,5,0,3,0,1,1,0,2,2,1,0,0,0,2,0,80,0,4,0,0,0,0,0,0,0,3,0,2
also,2,0,7,0,0,1,1,0,0,0,3,0,1,1,2,1,1,55,3,0,10,1,3,0,2,8,2,0,2,0,0,0,3,0,0,1,2,3,106,3,1,1,20,3,0,0,1,2,2,9,3,3,0,0,2,2,0,3,0,0,0,1,0,3,1,0,0,0,0,0,3,0,2,0,1,0,0,1,0,1,5,0,0,0,1,1,0,0,1,1,0,0,0,0,2,1,2,13,0,19,12,64,2,0,6,5,1,4,1,2,1,2,0,1,1,1,0,3,0,106,85,2,1,0,1,0,2,1,0,3,1,1,0,0,0,1,2,1,0,0,1,2,2,0,0,1,5,2,1,25,1,0,0,1,4,0,1,2,1,13,0,1,0,1,0,1,0,1,0,1,0,2,2,0,0,0,3,1,6,0,0,0,0,8,0,3,1,1,1,0,1,0,4,0,1,0,0,1,4,0,2,0,0,0,1,1,5,0,1,1,0,1,2,0,1,0,0,1,17,10,1,1,0,1,0,2,1,3,6,0,1,1,0,2,11,2,4,0,41,4,49,2,0,0,17,0,1,0,0,0,0,2,0,0,3,0,1,0,1,0,0,0,2,0,1,3,3,0,0,2,59,1,0,24,1,0,27,0,1,0,15,1,1,10,1,0,23,5,0,1,2,3,9,3,1,1,2,14,0,0,6,0,2,0,0,1,8,2,1,0,3,0,4,2,13,1,1,11,1,1,21,3,15,0,0,67,7,0,17,0,1,1,1,0,1,1,1,0,4,16,4,2,3,0,2,0,1,0,0,1,0,2,2,0,0,2,0,1,2,0,0,2,0,2,0,0,0,1,0,2,0,0,2,5,0,1,5,1,0,2,26,0,4,0,12,0,1,6,5,2,2,1,5,2,0,5,0,11,0,13,21,13,0,2,1,1,3,7,1,7,1,0,5,0,1,8,4,4,3,10,14,5,0,0,1,2,2,1,1,0,0,0,0,0,1,0,1,4,2,0,2,1,1,3,9,5,3,1,0,5,0,1,2,0,1,0,3,1,5,2,1,0,1,0,0,2,0,0,2,4,0,0,3,1,0,2,16,0,14,3,1,1,0,3,1,6,5,0,0,2,1,0,1,4,0,7,1,2,0,1,1,1,0,1,1,0,3,1,1,1,2,1,4,1,0,0,3,1,3,4,0,2,3,2,1,10,2,3,2,0,2,0,2,0,57,8,7,0,4,4,3,0,0,0,13,7,1,4,2,3,0,0,0,0,3,1,0,1,4,3,0,0,6,5,3,3,14,1,2,0,22,1,0,4,0,1,9,3,5,2,2,2,0,6,0,1,9,18,2,2,3,0,3,0,0,0,0,7,1,1
